Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,A blurred landscape under a cloudy sky suggests motion.,0.2895,0.1143,0.3635,0.1991
000000435003.jpg,Blurred indoor scene suggests movement or rapid action.,0.0,0.1333,0.0,0.2405
000000084431.jpg,A television screen is visible in a room setting.,0.0022,0.1212,0.1389,0.2374
000000402346.jpg,A blurred image shows flowers and a bowl of tomatoes.,0.4393,0.24,0.5724,0.3489
000000294695.jpg,Abstract streaks of color move across a sandy landscape.,0.0002,0.0,0.0855,0.228
000000161642.jpg,"A blurred, rectangular object with colorful patterns is visible.",0.002,0.1333,0.1282,0.2064
000000120420.jpg,A person is taking a picture outdoors.,0.481,0.0,0.3866,0.3333
000000138492.jpg,A black and white dog with a purple toy is running on grass.,0.8178,0.0,0.5717,0.3491
000000270677.jpg,"A person in a blue shirt walks through a green, wooded area.",0.0012,0.0,0.1667,0.3071
000000561465.jpg,Blurred image suggests food items on a surface.,0.0559,0.16,0.2608,0.2773
000000141821.jpg,A pizza is presented on a table in a dining setting.,0.2368,0.0,0.198,0.2981
000000448810.jpg,Blurred urban scene with architectural elements visible.,0.0005,0.0,0.0568,0.1964
000000170116.jpg,A blurred image shows vertical lines of text and metallic surfaces.,0.001,0.0,0.1087,0.2551
000000434548.jpg,A baseball player runs on the dirt field.,0.8766,0.0,0.7031,0.2947
000000472623.jpg,"Dark, abstract shapes suggest a blurred outdoor scene.",0.0,0.0,0.0625,0.1788
000000442463.jpg,"Skater moves across a bright, open outdoor rink.",0.0,0.0,0.0625,0.2832
000000153797.jpg,A baseball pitcher throws a ball on a dirt mound.,1.0234,0.0465,0.5096,0.2998
000000200667.jpg,Abstract streaks suggest fast motion through a metallic structure.,0.0291,0.381,0.2083,0.2004
000000471087.jpg,A shadowy figure stands against a textured background.,0.0778,0.0,0.2608,0.1962
000000367569.jpg,Interior room scene with light fixtures and furniture visible.,0.0475,0.0,0.1852,0.2737
000000239717.jpg,A person in a dark shirt is seated at a table.,0.0054,0.0,0.163,0.26
000000074733.jpg,"Blurred scene suggests a busy, warm indoor setting.",0.0,0.2286,0.0935,0.1899
000000511999.jpg,A yellow and dark train moves quickly past the viewer.,0.0757,0.0,0.1053,0.3022
000000560911.jpg,A person is seated on a couch in a room.,0.8264,0.0,0.5625,0.269
000000351362.jpg,"Blurred interior scene with warm, soft lighting.",0.0014,0.0,0.0633,0.2225
000000025394.jpg,"A person is visible in a dimly lit, motion-blurred indoor setting.",0.0009,0.0,0.1205,0.2423
000000117374.jpg,Blurred outdoor scene with hints of trees and ground.,0.0015,0.0,0.1488,0.222
000000439715.jpg,Horses gallop across a blurred outdoor setting.,0.0,0.0,0.1031,0.2559
000000201025.jpg,"Dark, vertical shapes suggest dense, blurred foliage.",0.0,0.1622,0.0,0.2478
000000092177.jpg,A blue frosted cake sits on a blue plate with tropical decorations.,0.2331,0.0,0.2151,0.3174
000000468245.jpg,A dimly lit room with windows and a bed is visible.,0.295,0.125,0.3125,0.3147
000000369037.jpg,"A dark, blurred figure is captured in motion.",0.0,0.0,0.0625,0.2284
