Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,A China Eastern airplane taxis on an airfield under a cloudy sky.,0.2306,0.0,0.3757,0.2734
000000435003.jpg,A modern office workspace features computers and a desk.,0.1578,0.2667,0.3507,0.3083
000000084431.jpg,A slice of ham and cheese pizza on a plate.,1.4739,0.1176,0.739,0.3049
000000402346.jpg,A white and orange lily sits near tomatoes and a metal jar.,0.5471,0.25,0.3676,0.3333
000000294695.jpg,Colorful kites fly over a sandy beach with people present.,0.3045,0.125,0.4092,0.3352
000000161642.jpg,"A decorative, handmade quilted wall clock hangs on a white wall.",0.5781,0.1875,0.5373,0.325
000000120420.jpg,A young man holds a digital camera to take a selfie outdoors.,0.1934,0.2941,0.3704,0.3154
000000138492.jpg,A black and white dog catches a purple frisbee in the grass.,0.9461,0.2286,0.6853,0.3567
000000270677.jpg,Young man in a green shirt stands by a chain-link fence outdoors.,0.2427,0.1212,0.3997,0.3289
000000561465.jpg,Donuts and roasted chicken are presented on a table.,0.1219,0.0741,0.3788,0.3013
000000141821.jpg,"A large, rustic pizza sits on parchment paper on a wooden table.",0.1621,0.1714,0.3094,0.3196
000000448810.jpg,Street signs point to various locations on a yellow building.,0.901,0.3226,0.4901,0.3416
000000170116.jpg,A refrigerator door displays a printed lineup card for the Boston Red Sox.,0.2682,0.0833,0.3007,0.387
000000434548.jpg,A baseball player pitches on a dirt mound during a game.,0.6232,0.16,0.4635,0.3103
000000472623.jpg,Mountain biker rides on rocky coastline near the sea.,0.0722,0.0976,0.1111,0.3208
000000442463.jpg,Skateboarder performs trick in a sunny skatepark.,0.0018,0.0606,0.1266,0.2771
000000153797.jpg,A baseball player fields a fly ball on the field.,0.4052,0.093,0.5617,0.2717
000000200667.jpg,Automated milking system operates on a dairy cow.,0.0,0.3636,0.0625,0.3716
000000471087.jpg,A young man in a collared shirt stands against a brick wall.,0.6538,0.3077,0.6222,0.303
000000367569.jpg,"A bright, cozy living room with a fireplace and wooden floors.",0.7295,0.1111,0.5556,0.271
000000239717.jpg,A smiling man in a dark shirt is pictured indoors.,0.3458,0.2,0.4121,0.2744
000000074733.jpg,A rustic wooden table holds food and drinks.,0.0739,0.2162,0.3574,0.2341
000000511999.jpg,A train waits at a covered station platform on a bright day.,0.4372,0.2222,0.3997,0.2981
000000560911.jpg,A man sits on a leather couch holding a phone.,1.9578,0.4762,0.7718,0.2861
000000351362.jpg,"A bright, modern bathroom with a tiled shower area.",0.1407,0.1379,0.3507,0.2908
000000025394.jpg,A man tastes wine while another person observes.,0.3059,0.0952,0.2608,0.312
000000117374.jpg,Two cats rest on a dirt path near a tree.,1.2106,0.1935,0.4901,0.2927
000000439715.jpg,A mounted soldier parades through a park setting.,0.0,0.3846,0.16,0.3809
000000201025.jpg,"Elephants walk through a dense, leafy jungle environment.",0.0867,0.0,0.2871,0.3372
000000092177.jpg,"A blue, tropical-themed birthday cake with palm trees.",0.6858,0.1667,0.4213,0.3359
000000468245.jpg,"A bright, empty bedroom with a large bed and windows.",0.3944,0.1765,0.3613,0.3179
000000369037.jpg,"A man stands next to a large, decorated elephant.",0.1384,0.0,0.739,0.3232
000000135604.jpg,A soccer player practices on a sunny green field.,0.9597,0.1667,0.3897,0.2878
000000302452.jpg,A giraffe interacts with people behind a wooden fence.,0.393,0.2069,0.3188,0.333
000000396580.jpg,A tranquil pond reflects an old house and surrounding greenery.,0.1188,0.1429,0.122,0.313
000000376284.jpg,Rusty water pipes stand in a gritty urban setting.,0.0,0.2857,0.0556,0.2866
000000157756.jpg,"A tall, historic clock tower stands against the dark night sky.",0.5477,0.0541,0.2652,0.3052
000000456496.jpg,Woman sits overlooking Paris with pigeons nearby.,0.0001,0.1579,0.2131,0.3823
000000154339.jpg,A close-up of a glowing gauge against a dark background.,0.2326,0.0645,0.4088,0.3403
000000275727.jpg,A yellow and green freight train travels along the tracks.,0.5707,0.0769,0.4092,0.2905
000000322724.jpg,Skier in bright orange jacket enjoys a snowy mountain day.,0.2305,0.4,0.206,0.311
000000367386.jpg,A modern living room features a gray sofa and abstract art.,0.3786,0.0541,0.4482,0.2903
000000351609.jpg,"A bowl filled with bright, vibrant mandarin orange segments.",0.1017,0.1667,0.284,0.3499
000000402334.jpg,"A tall, pointed church spire rises against a blue sky.",0.3093,0.4242,0.3849,0.3118
000000006818.jpg,A white tiled bathroom features a prominent vertical pipe.,0.0901,0.3333,0.1852,0.3206
000000502910.jpg,"A ""Wegomlegging"" sign stands outside a dark doorway.",0.181,0.2222,0.1875,0.3633
000000467176.jpg,People gather in a living room watching a television screen.,0.2624,0.2,0.1835,0.321
000000205105.jpg,A tennis player hits a ball during a nighttime match.,0.4305,0.2,0.3468,0.3445
000000052591.jpg,Woman in vintage attire stands on a snowy landscape.,0.0011,0.3158,0.2222,0.313
000000066038.jpg,People relax on a sandy beach under colorful umbrellas.,0.4913,0.1765,0.5506,0.3538
000000286908.jpg,A collage displays various Japanese food dishes.,0.1225,0.32,0.1546,0.3447
000000144932.jpg,"A small workboat operates on a gray, overcast body of water.",0.3556,0.125,0.4295,0.364
000000261161.jpg,A black and white dog sits patiently on a paved area.,0.2183,0.129,0.2475,0.2849
000000512194.jpg,Bright yellow background frames a vase of colorful flowers.,0.3279,0.087,0.2581,0.312
000000507473.jpg,A young person smiles while holding a green object.,0.0887,0.2353,0.4167,0.2681
000000232538.jpg,A blue and yellow train sits at a station under a cloudy sky.,0.5477,0.1333,0.4118,0.2505
000000383289.jpg,A police officer on a bike talks on a phone outdoors.,0.3757,0.0606,0.4265,0.2932
000000038825.jpg,Zebras graze in a grassy field.,0.6294,0.3448,0.6205,0.3125
000000256192.jpg,A bright yellow and black police motorcycle is parked on the street.,1.5537,0.0,0.6048,0.3259
000000306893.jpg,Tram tracks lead under a shelter toward passing streetcars.,0.0206,0.25,0.0741,0.2903
000000356261.jpg,A horse grazes near a rushing river in a green landscape.,0.3132,0.1481,0.1818,0.3696
000000040757.jpg,A sleeping baby rests on a patterned bed.,0.0027,0.1026,0.3194,0.2996
000000063047.jpg,"Man holds drink near a green, ornate building.",0.0965,0.1579,0.12,0.313
000000502168.jpg,Sailors observe activity on the open ocean from a ship deck.,0.1523,0.0,0.241,0.3169
000000210502.jpg,A silver train car with black and white stripes is visible.,0.4379,0.0909,0.4727,0.3511
000000232088.jpg,A bright living room features a large TV and comfortable seating.,0.2687,0.25,0.3803,0.3149
000000095899.jpg,A stop sign and blue street sign near a construction crane.,1.2394,0.0526,0.5373,0.2903
000000416451.jpg,A man in a suit interacts with a VR headset in a room.,0.0438,0.1333,0.2719,0.3032
000000549738.jpg,A colorful kite flies above a church spire on a cloudy day.,0.3861,0.0606,0.2843,0.3433
000000502732.jpg,A modern stainless steel French door refrigerator stands in a kitchen.,0.6314,0.5263,0.5373,0.3569
000000474164.jpg,A dog sits on the roof of a pickup truck under a blue sky.,1.0822,0.1053,0.7053,0.3364
000000389316.jpg,Two elephants stand in a dusty enclosure near water.,1.1499,0.1379,0.4593,0.3008
000000526728.jpg,A couple stands outside a brick building with luggage.,0.1381,0.0667,0.4505,0.3552
000000435205.jpg,A teddy bear rests near a pregnant belly with drawings.,0.4052,0.1538,0.2769,0.3481
000000312237.jpg,People enjoy a sunny day at a sandy beach by the sea.,0.6889,0.125,0.5718,0.3118
000000431727.jpg,Two black bears forage among bare winter branches.,0.4131,0.1429,0.125,0.3623
000000226883.jpg,A horse grazes near a rustic building in a grassy yard.,0.5111,0.1818,0.5668,0.3037
000000164969.jpg,"A box holds a large, partially cut pizza with various toppings.",0.7942,0.1176,0.4635,0.3557
000000569059.jpg,A computer desk setup with a monitor and various accessories.,0.6144,0.2581,0.4686,0.324
000000186980.jpg,A rustic wooden dining table is set in a warm kitchen.,0.4388,0.1,0.4482,0.3218
000000180383.jpg,A life-sized cow statue displays a news broadcast on a screen.,0.2044,0.0,0.4043,0.3752
000000545407.jpg,An Allegiant jet flies against a clear blue sky.,0.9531,0.1538,0.5506,0.3308
000000122217.jpg,"Two skateboarders ride down a dark, empty street.",0.2666,0.1429,0.5438,0.3186
000000005600.jpg,A bowl of stewed meat and carrots sits on a table.,0.1079,0.25,0.4055,0.2998
000000297396.jpg,Delicious chocolate cakes with white icing are displayed on a platter.,0.2133,0.2069,0.2778,0.303
000000386277.jpg,A bright orange citrus fruit hangs from a green branch.,0.5118,0.1951,0.344,0.3408
000000523241.jpg,A yellow pole stands near a road with traffic under an overcast sky.,0.2149,0.125,0.1596,0.3198
000000464824.jpg,A person washes a large metal object outdoors with a hose.,0.0356,0.0,0.2304,0.2729
000000032570.jpg,"Surfer rides inside a massive, powerful ocean wave.",0.2268,0.1538,0.2871,0.2981
000000237928.jpg,A modern kitchen features white cabinets and a stainless steel refrigerator.,0.7629,0.1714,0.4222,0.2998
000000439525.jpg,A woman and man bake a cake in a rustic kitchen.,0.4225,0.1429,0.481,0.2996
000000206579.jpg,A person is near a lit candle on a white table.,0.0028,0.0,0.4076,0.2522
000000267434.jpg,Cows graze in a green field near old stone buildings.,0.2267,0.069,0.4361,0.3149
000000050006.jpg,A calm lake scene with boats and distant hills.,0.2475,0.2308,0.1667,0.2781
000000188906.jpg,Golden waffle and caramelized banana dessert on a white plate.,0.3357,0.1905,0.2556,0.2935
000000250758.jpg,"A zebra stands in a grassy, fenced enclosure outdoors.",0.6111,0.0541,0.463,0.3416
000000312263.jpg,"A black and white photo of a tall, ornate brick building facade.",0.0757,0.2727,0.2302,0.325
000000446651.jpg,A man and a child ride a motorcycle outdoors.,0.4392,0.0513,0.4167,0.3293
000000145597.jpg,A group of women gather outdoors around a spread of items.,0.2139,0.0714,0.4848,0.3389
000000122606.jpg,A white and blue cross-town bus is parked on the side of a road.,1.4771,0.1765,0.6784,0.3372
000000417085.jpg,Cows graze near a roadside under a cloudy sky.,0.0263,0.1818,0.1709,0.303
000000092839.jpg,A polar bear rests in bright sunlight on dark rocks.,1.0283,0.1429,0.3413,0.314
000000533493.jpg,"Two men celebrate with a disc, while another smiles nearby.",0.0838,0.5385,0.2808,0.2622
000000494427.jpg,A silver Dell Inspiron laptop is shown open on a light surface.,0.2885,0.0625,0.7231,0.3835
000000438907.jpg,Skateboarder performs a trick in an urban outdoor setting.,0.1984,0.1429,0.2366,0.2942
000000246436.jpg,A man cooks pizza in a kitchen setting.,0.2202,0.0,0.4551,0.3447
000000060886.jpg,Baseball players gather on the dirt infield during a game.,0.0558,0.1081,0.3849,0.3005
000000291791.jpg,A vintage military motorcycle is parked on green grass.,0.7978,0.3529,0.5506,0.3364
000000294163.jpg,A clock tower stands against a bright blue sky with bare branches.,0.7085,0.2,0.4605,0.3384
000000350405.jpg,Skier carves a turn on a snowy mountain slope.,0.2031,0.2222,0.3188,0.3042
000000456662.jpg,A young girl stands in front of a refrigerator.,3.532,0.1935,0.8655,0.3425
000000286708.jpg,Black and white cat wears a bright pink knitted hat.,0.2563,0.1667,0.5986,0.3506
000000005477.jpg,A LOT Polish Airlines airplane taxis on an airfield.,0.3615,0.0606,0.2469,0.2406
000000486573.jpg,White flowers sit on a windowsill overlooking a green forest.,0.6713,0.1875,0.5625,0.374
000000369675.jpg,A vintage red train car sits on railway tracks.,0.4615,0.2069,0.2222,0.2988
000000164115.jpg,Surfboards rest near a stone wall on a sunny path.,0.0028,0.1429,0.2675,0.313
000000113403.jpg,"Three teddy bears rest on a colorful, patterned bed.",0.5961,0.3,0.5163,0.333
000000127530.jpg,Tennis player hits a ball during a match.,0.2316,0.25,0.418,0.2642
000000384136.jpg,A young woman holds a handheld fan indoors.,0.1395,0.1481,0.4551,0.3306
000000419408.jpg,Skater on a board in a park setting.,0.004,0.0,0.2608,0.3008
000000548524.jpg,"Surfers ride waves on a calm, expansive ocean under a clear sky.",0.0003,0.1212,0.2151,0.3186
000000187513.jpg,A bathroom with green walls and a silver shower enclosure.,2.218,0.069,0.6724,0.3389
000000118594.jpg,A brown and white bull with horns grazes in a grassy field.,0.4195,0.25,0.3962,0.342
000000539143.jpg,A purple and blue train travels on railway tracks under a bridge.,1.0974,0.069,0.6825,0.3005
000000169356.jpg,Skateboarder performs trick on a ramp outdoors.,0.3523,0.4545,0.3866,0.2886
000000494863.jpg,"A brown train travels past a green, mountainous landscape.",0.8655,0.2727,0.463,0.3259
000000217753.jpg,Various packaged fruits are displayed on shelves.,0.305,0.1739,0.1899,0.3481
000000491213.jpg,A black motorcycle is parked next to a classic blue car.,1.0746,0.1379,0.3748,0.3665
000000374551.jpg,A small brown bird perches on a gray branch.,0.6264,0.2143,0.4307,0.3296
000000482477.jpg,A raptor perches on a dead tree against a pale sky.,0.035,0.32,0.3126,0.2905
000000521259.jpg,Men gather outdoors near a yellow building on a sunny day.,0.0,0.1538,0.163,0.2622
000000134096.jpg,A black and orange cat sits near a bathroom sink.,0.4293,0.5,0.3849,0.3293
000000288685.jpg,Sheep graze in a grassy field near a crowd.,0.0463,0.0488,0.3444,0.2722
000000094751.jpg,Street scene with traffic signals overlooking the sea.,0.0262,0.1481,0.3945,0.3477
000000293245.jpg,"Vintage motorcycle parked against a large, metallic number.",0.4637,0.0541,0.3194,0.3103
000000167122.jpg,A dark car is parked near brightly lit buildings at night.,0.5889,0.129,0.4295,0.2998
000000447187.jpg,Baseball players are on the field during a game.,0.0361,0.2857,0.1709,0.3032
000000350002.jpg,A woman in a white and blue gown poses dramatically indoors.,0.2255,0.0,0.4848,0.2595
000000553664.jpg,A person works on a laptop in a library setting.,0.2354,0.129,0.2198,0.2496
000000246968.jpg,A woman stands at a kitchen island in a modern home.,0.4865,0.3429,0.6158,0.3157
000000129054.jpg,"Zebras graze in a vast, grassy savanna landscape.",0.0363,0.3871,0.4551,0.321
000000138241.jpg,Tacos with meat and fresh toppings are presented on a plate.,0.2634,0.2609,0.3713,0.2998
000000574297.jpg,A rider on a brown horse walks down a dirt path.,0.8467,0.0,0.3876,0.3015
000000328117.jpg,Fried Medhu Vada are displayed in a metal serving tray.,0.1169,0.0833,0.3468,0.3076
000000192699.jpg,Two people ride an ATV in a dense forest.,0.1831,0.1905,0.4167,0.3313
000000344611.jpg,"Flooding on a road with a ""Water on Pavement"" sign.",0.0326,0.1818,0.1829,0.363
000000153510.jpg,Curry chicken and broccoli served over white rice with naan.,0.2091,0.1667,0.15,0.321
000000576031.jpg,Skier in winter gear glides across a snowy landscape.,0.1471,0.3077,0.2315,0.2834
000000108864.jpg,Two elephants stand in a grassy savanna landscape.,0.7181,0.1379,0.4939,0.3381
000000370677.jpg,Three women stand smiling in a brightly lit grocery store aisle.,0.1194,0.1333,0.1485,0.3005
000000502347.jpg,A small plane flies over a forested hillside and harbor.,0.46,0.2069,0.446,0.3733
000000098018.jpg,"An interior view of a rustic, somewhat cluttered room.",0.0044,0.2727,0.1603,0.2839
000000384666.jpg,Skiers descend a snowy mountain slope on a bright day.,0.1589,0.1579,0.1829,0.3093
000000101068.jpg,"A baseball player swings, kicking up dirt and dust.",0.3484,0.0,0.3188,0.3054
000000070254.jpg,A green and yellow train passes by a platform on a sunny day.,0.6889,0.0625,0.6752,0.3267
000000283038.jpg,"A large, weathered red stop sign dominates a city street scene.",0.8293,0.1538,0.5373,0.311
000000398438.jpg,A person cuts a tiered wedding cake with a knife.,0.867,0.069,0.7938,0.3435
000000227399.jpg,A vintage yellow train sits on cobblestones in a town square.,0.1757,0.1935,0.253,0.3223
000000571718.jpg,A street vendor sells bananas to passersby.,0.0284,0.1176,0.1136,0.3413
000000427055.jpg,A vintage clock stands near a building on a sunny street.,0.4422,0.1538,0.3683,0.3213
000000121744.jpg,Tennis player smiles while on the court during a match.,0.1492,0.24,0.375,0.2932
000000460927.jpg,A dark bear stands on grassy terrain against a hazy background.,0.209,0.1111,0.2869,0.3245
000000385997.jpg,A dog rests on a cushion near a bright window.,0.1926,0.1081,0.2177,0.2817
000000016598.jpg,Woman with blue hair holds up a smartphone to the camera.,1.1924,0.1739,0.7309,0.3335
000000240049.jpg,A woman holds a child near giraffes at a zoo.,0.7814,0.2667,0.4796,0.3442
000000526392.jpg,Cars are visible on a street with traffic lights in the background.,0.6193,0.1212,0.5515,0.2925
000000466125.jpg,A young girl smiles under a pink umbrella indoors.,0.6186,0.1739,0.4505,0.3337
000000222118.jpg,Woman smiling while talking on phone against a light wall.,0.6846,0.0952,0.4901,0.2925
000000386912.jpg,A cluttered office desk features a computer and various items.,0.3647,0.2727,0.1835,0.2747
000000177893.jpg,A Metro Rapid bus drives down a sunny city street.,0.2346,0.0741,0.2,0.3252
000000248810.jpg,A giraffe stands behind a fence in an outdoor enclosure.,0.7619,0.0513,0.3849,0.3445
000000252332.jpg,A bright red octagonal stop sign is visible outdoors.,0.5026,0.2963,0.4167,0.3208
000000219271.jpg,"People gather near a large, damaged structure in a mountainous area.",0.0,0.129,0.1865,0.3359
000000292456.jpg,People interact near a shop window displaying a scooter.,0.0,0.1379,0.1235,0.2725
000000133343.jpg,Man in sunglasses and tie poses in a dimly lit setting.,0.5827,0.0741,0.4635,0.2986
000000436551.jpg,A black swan floats gracefully on calm water.,0.3758,0.0476,0.3945,0.3335
000000378453.jpg,Zebras gather around a muddy waterhole in the savanna.,0.0387,0.1667,0.4009,0.3381
000000114049.jpg,People ride in a crowded train car.,0.0765,0.0769,0.2222,0.2693
000000080949.jpg,A fluffy cat sleeps on a laptop keyboard.,0.15,0.125,0.418,0.3325
000000400803.jpg,An orange rescue boat navigates the open blue ocean.,0.4717,0.1176,0.2184,0.354
000000447465.jpg,A skier in bright gear practices on a snowy outdoor course.,0.0854,0.0606,0.163,0.3315
000000358923.jpg,Woman on phone stands near a colorful umbrella outdoors.,0.4075,0.2857,0.1852,0.2939
000000491725.jpg,Boats illuminate a dark harbor at night.,0.0044,0.3077,0.1266,0.2817
000000512564.jpg,A busy urban street scene with tall buildings under a clear sky.,0.1158,0.1111,0.2381,0.2944
000000551804.jpg,Tennis player hits a shot on a clay court.,0.2718,0.0625,0.53,0.2773
