Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,Abstract painting with vibrant colors and swirling patterns.,0.0014,0.0,0.0625,0.1238
000000435003.jpg,"A blurry, pixelated scene of a room with a couch and window.",0.0063,0.1212,0.3094,0.2228
000000084431.jpg,"A person sits in a chair, looking at a TV screen.",0.0004,0.0,0.1712,0.2313
000000402346.jpg,A woman in a red dress holding a white flower.,0.5421,0.0714,0.3156,0.2532
000000294695.jpg,Abstract painting with vibrant colors and swirling patterns.,0.0014,0.0625,0.12,0.1718
000000161642.jpg,"A blurry, pixelated image of a house with a triangular roof.",0.0768,0.2353,0.2038,0.1442
000000120420.jpg,A man in a white shirt and black pants stands in a grassy field.,0.2377,0.0,0.3046,0.2358
000000138492.jpg,"A humanoid figure with a bird-like head, standing upright.",0.003,0.1579,0.284,0.1877
000000270677.jpg,"A man in a blue shirt stands in a wooded area, looking directly at the camera.",0.0928,0.0571,0.3868,0.3035
000000561465.jpg,Abstract painting with vibrant colors and dynamic brushstrokes.,0.0037,0.0769,0.0625,0.1323
000000141821.jpg,Abstract painting with vibrant colors and swirling patterns.,0.0026,0.1143,0.102,0.1126
000000448810.jpg,"A two-story house with a chimney, windows, and a door.",0.0006,0.1818,0.1099,0.1382
000000170116.jpg,Abstract artwork featuring vibrant colors and geometric shapes.,0.0006,0.0,0.0562,0.1379
000000434548.jpg,"A person stands on grass, holding a red object in their hand.",0.0016,0.0,0.3394,0.2369
000000472623.jpg,Abstract painting with vibrant colors and dynamic brushstrokes.,0.0006,0.0,0.0704,0.1177
000000442463.jpg,A person in red shirt and shorts is skateboarding outdoors.,0.1432,0.0571,0.1829,0.3618
000000153797.jpg,"Abstract artwork featuring a central figure amidst vibrant, multicolored dots.",0.0,0.0,0.0685,0.0921
000000200667.jpg,Abstract artwork featuring vibrant colors and geometric shapes.,0.0,0.4,0.0,0.0994
000000471087.jpg,A man with short black hair and glasses in a dark jacket.,0.1666,0.08,0.309,0.2438
000000367569.jpg,"A living room with a couch, coffee table, and bookshelf.",0.7685,0.1081,0.686,0.2644
000000239717.jpg,Abstract painting with vibrant colors and swirling patterns.,0.0016,0.069,0.0562,0.167
