Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,A large white airplane with red and blue stripes is parked on a runway.,0.5088,0.1667,0.6541,0.2734
000000435003.jpg,A cluttered office space with multiple computer monitors and a desk lamp.,1.0007,0.3125,0.6825,0.3047
000000084431.jpg,A plate of food with a TV in the background.,0.1278,0.2286,0.2941,0.2878
000000402346.jpg,A black bowl of tomatoes sits on a wooden table with a flower nearby.,1.1374,0.2609,0.5409,0.3459
000000294695.jpg,"A beach scene with people, a kite, and a large American flag.",0.2488,0.3125,0.2326,0.3792
000000161642.jpg,"A colorful cuckoo clock hangs on a white wall, featuring a wooden roof and vibrant decorations.",0.1674,0.2353,0.5068,0.3142
000000120420.jpg,A woman in a green shirt takes a selfie with a white camera.,0.5247,0.4444,0.3828,0.3452
000000138492.jpg,"A black and white dog stands on hind legs, holding a purple frisbee.",0.6522,0.2286,0.6529,0.384
000000270677.jpg,"A young boy in a blue shirt stands on a sidewalk, holding a yellow object.",0.1979,0.2286,0.3899,0.2542
000000561465.jpg,A box of donuts and a plate with a brown item on a brown table.,0.4194,0.2222,0.6404,0.3433
000000141821.jpg,A pizza with cheese and meat sits on a wooden table.,0.3404,0.1622,0.5061,0.3132
000000448810.jpg,A yellow building with white-framed windows and a street sign.,0.113,0.1714,0.2808,0.2612
000000170116.jpg,A cluttered refrigerator with various food items and papers attached.,0.1468,0.0769,0.1648,0.3503
000000434548.jpg,A baseball player in white uniform stands on the pitcher's mound.,0.5956,0.08,0.5831,0.3049
000000472623.jpg,A lone cyclist rides a mountain bike along a rocky shoreline.,0.2231,0.2,0.4646,0.3076
000000442463.jpg,A young boy in red shirt and shorts rides a skateboard on a concrete surface.,0.0378,0.1212,0.3006,0.3589
000000153797.jpg,A baseball player in a blue uniform is pitching on a dirt mound.,0.2651,0.1739,0.3957,0.293
000000200667.jpg,"A cow standing in a barn, surrounded by hay and farm equipment.",0.4989,0.381,0.2748,0.2585
000000471087.jpg,A young man in a suit and tie stands in front of a brick wall.,0.5478,0.1379,0.4868,0.2864
000000367569.jpg,"A cozy living room with a fireplace, piano, and comfortable seating area.",0.2687,0.2222,0.6085,0.2952
000000239717.jpg,"Man in blue shirt smiling, holding plate of food in restaurant.",0.4674,0.0606,0.4848,0.3469
000000074733.jpg,"A table with beer glasses, food, and a menu in a restaurant setting.",0.2349,0.2564,0.2232,0.2932
000000511999.jpg,A yellow train with black windows is parked at a station platform.,0.2433,0.1935,0.2323,0.3311
000000560911.jpg,"A man sits on a couch, holding a cup, with a TV nearby.",0.3544,0.4545,0.6162,0.3044
000000351362.jpg,"A bathroom with a bathtub, sink, and shower curtain.",0.3629,0.2286,0.5679,0.3252
000000025394.jpg,"Woman in gray shirt and glasses stands at bar, holding white napkin.",0.0063,0.0465,0.0595,0.3521
000000117374.jpg,Two cats sit on a dirt path near a tree in a park-like setting.,0.8987,0.1765,0.5943,0.3276
000000439715.jpg,A man in a red uniform rides a brown horse in a park.,1.5333,0.087,0.6129,0.3879
000000201025.jpg,"Two elephants walking through a lush, green forest environment.",0.6074,0.3158,0.4167,0.3267
000000092177.jpg,A beach-themed birthday cake with palm trees and a banner.,0.6721,0.0714,0.5617,0.3396
000000468245.jpg,"A cozy bedroom with a bed, windows, and a nightstand.",0.0841,0.0625,0.3153,0.2712
000000369037.jpg,A man stands beside a large elephant in a museum setting.,0.4133,0.0833,0.4482,0.3438
000000135604.jpg,A young boy in a white uniform stands on a soccer field.,1.4761,0.1622,0.5496,0.2827
000000302452.jpg,A dog in a cage with a wooden frame and metal bars.,0.0028,0.2286,0.2843,0.1924
000000396580.jpg,"A serene lakeside scene with a house, trees, and a small boat.",0.2125,0.0476,0.31,0.2864
