Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIP_SCORE_Score
000000456865.jpg,"A large China Eastern Airlines passenger jet is parked on a runway, with its distinctive red and blue logo visible on the tail.",0.003,0.2564,0.3322,0.2891
000000435003.jpg,"The image depicts a modern office workspace featuring a wooden desk with a laptop, two computer monitors, and a white keyboard. A black office chair is positioned in front of the desk, and a silver desk lamp provides illumination. The room has a concrete wall and a window with blinds, allowing natural light to enter. The floor is covered with a red carpet, and a gray electrical box is visible on the wall. The overall setup suggests a functional and organized work environment.",0.0,0.2791,0.2924,0.3257
000000084431.jpg,"A slice of ham and cheese pizza sits on a white plate with a gold rim and floral design, being enjoyed while watching a TV show in a cozy living room setting.",0.0035,0.2927,0.4819,0.3391
000000402346.jpg,"A vibrant scene featuring a black bowl filled with ripe tomatoes, a striking white and red striped flower, and a reflective silver container on a wooden table.",0.0105,0.1429,0.2963,0.3345
000000294695.jpg,"A vibrant beach scene with people enjoying the sand, colorful kites soaring in the sky, and a pier extending into the ocean under a clear blue sky.",0.013,0.1429,0.2756,0.3264
000000161642.jpg,"This image showcases a charming handmade cuckoo clock crafted from various fabrics, featuring a white clock face with black numbers, colorful floral patterns, and decorative elements like a red mushroom and a blue bird. The clock is mounted on a white wall, with a small plaque displaying the number 1106 to its right.",0.0,0.2727,0.2303,0.3726
000000120420.jpg,"A man with long black hair is taking a selfie with a white flip phone in a park, wearing a green shirt and a black watch, with people and trees visible in the background.",0.0017,0.4545,0.5178,0.3279
000000138492.jpg,"A black and white dog is captured mid-leap, holding a purple frisbee in its mouth against a blurred green background.",0.2639,0.127,0.5114,0.3755
000000270677.jpg,"A young man with curly brown hair stands in a park, wearing a blue t-shirt with a tree design and holding a skateboard with yellow wheels.",0.0095,0.1667,0.5241,0.3208
000000561465.jpg,"A box of Krispy Kreme donuts sits on a dark brown marble countertop, with a white plate featuring blue floral designs holding a piece of meat, possibly chicken or pork, in the foreground.",0.0002,0.2333,0.3289,0.3455
000000141821.jpg,"A rustic, homemade pizza with a thick, golden-brown crust sits on a wooden table, topped with melted cheese, caramelized onions, and possibly mushrooms.",0.0186,0.2791,0.3773,0.3118
000000448810.jpg,"The image depicts a street signpost with six directional signs in a foreign language, likely Swedish, mounted on a silver pole. The signs are red with white text and feature black icons, including a person walking and a building. The background shows a yellow building with white-framed windows, one of which has a white banner with a blue lobster illustration. The scene appears to be outdoors during the daytime, with a person visible in the bottom left corner.",0.0,0.2597,0.2419,0.3811
000000170116.jpg,"The image shows a cluttered refrigerator covered with various papers, tickets, and magnets, including a prominent Boston Red Sox lineup card and a Facebook sticker.",0.0243,0.1622,0.3254,0.3845
000000434548.jpg,"A baseball player in a white uniform with red lettering is captured mid-pitch on a brown dirt mound, surrounded by green grass and a backdrop of advertisements for PNC Bank, Money Mailer, Toyota Trucks, and WilmingtonDE.gov.",0.0,0.1111,0.2922,0.3184
000000472623.jpg,"A daring mountain biker performs a wheelie on a rocky cliffside, with two onlookers watching from below as the ocean waves crash in the background.",0.0091,0.0784,0.5307,0.3325
000000442463.jpg,"A young boy is skateboarding on a concrete surface, wearing protective gear including a red helmet, elbow pads, and knee pads. He's dressed in a red shirt, camouflage shorts, and sneakers. The skateboard has a black deck with red wheels. In the background, there's a grassy area with a ""No Smoking"" sign, a building, and some trees. The sky appears bright and white, suggesting it's a sunny day.",0.0,0.1429,0.2096,0.3582
000000153797.jpg,"A baseball pitcher in a gray uniform with blue sleeves and a black cap is captured mid-throw on a well-maintained field, with the ball visible in the air.",0.0045,0.1404,0.4686,0.3167
000000200667.jpg,"A black and white cow is standing on a metal grate in a milking machine, with its head visible and a yellow ear tag attached.",0.0207,0.1455,0.2797,0.314
000000471087.jpg,"A young man with short dark hair and a slight smile stands in front of a brick wall, wearing a dark button-down shirt and a plaid tie.",0.0143,0.2564,0.4733,0.314
000000367569.jpg,"The image depicts a cozy living room with a white fireplace, a black piano, and a brown coffee table.",0.0664,0.2381,0.5617,0.2927
000000239717.jpg,"A man in a blue shirt is smiling and holding two plates of food, standing in front of a lively bar scene with people dancing and drinking.",0.0056,0.1538,0.4733,0.3442
000000074733.jpg,"The image depicts a cozy restaurant setting with a round table featuring a beer flight and two small, square pizzas. The flight consists of four glasses of beer on a wooden board, showcasing a variety of colors from dark to light. The pizzas are topped with different ingredients, including mushrooms, tomatoes, and green peppers. In the background, another table is visible with a person seated, holding a menu. The overall atmosphere suggests a casual dining experience with a focus on craft beer and gourmet pizza.",0.0,0.1277,0.3122,0.3154
000000511999.jpg,"A yellow and black train is parked on a platform, with three men standing nearby - two in orange safety vests and one in a black suit.",0.0605,0.1724,0.4056,0.3435
000000560911.jpg,"A man sits on a black leather couch, holding a white phone, with his legs crossed and wearing brown pants and shoes.",0.1013,0.4286,0.6795,0.314
000000351362.jpg,"The image depicts a modern, minimalist bathroom with a sleek design featuring a white bathtub, black tiled floor, and a white sink with a wooden cabinet. A white shower curtain with sheer fabric hangs over the tub, and a round light fixture illuminates the space. The bathroom also includes a toilet and a small shelf above the sink, creating a clean and functional aesthetic.",0.0,0.3077,0.3135,0.3
000000025394.jpg,"A man in a gray shirt and glasses is wiping down a wine bottle with a white cloth at a bar, surrounded by various bottles and glasses, with a green menu visible on the counter.",0.0001,0.1967,0.4406,0.375
000000117374.jpg,"In this serene park scene, two cats lounge on the ground while a crow perches on a fence post, all set against a backdrop of a stone wall and a grassy hill.",0.001,0.1579,0.3773,0.3008
000000439715.jpg,"A man in a red military uniform rides a brown horse with white markings, surrounded by spectators holding umbrellas in a park-like setting.",0.1079,0.2286,0.6091,0.3804
000000201025.jpg,"Two elephants stand in a lush, green forest, partially obscured by tree branches and leaves, with one elephant's trunk hanging down and the other's trunk visible, both displaying prominent tusks.",0.0006,0.1818,0.4018,0.3591
000000092177.jpg,"This image showcases a beautifully decorated birthday cake from Sweetness Bakery, featuring a vibrant beach theme with a blue ocean base, sandy top, and tropical decorations.",0.0231,0.1739,0.4777,0.3267
000000468245.jpg,"A cozy bedroom with a bed, windows, and a nightstand.",0.0841,0.2632,0.3153,0.2712
000000369037.jpg,"A man stands beside a decorated elephant adorned with bells and intricate designs, creating a striking and culturally rich scene.",0.0513,0.2222,0.4043,0.2734
000000135604.jpg,"A young soccer player in a white uniform with blue stripes is poised to kick a white soccer ball with black spots on a green field, with a goal net visible in the background.",0.0024,0.2174,0.6183,0.2871
000000302452.jpg,"A woman is feeding a baby giraffe milk through a wooden fence at a zoo, with a group of people watching and taking pictures.",0.1114,0.2545,0.4325,0.3599
000000396580.jpg,"A serene lakeside scene featuring a charming white house with a brown roof, surrounded by lush greenery and a small wooden boat floating on the calm water.",0.0465,0.1224,0.4547,0.3057
000000376284.jpg,"The image depicts a dilapidated urban street scene with a fire hydrant surrounded by rusted metal poles, a cracked sidewalk, and parked cars, including a white van and a silver sedan.",0.0015,0.4348,0.4649,0.3464
000000157756.jpg,"A nighttime cityscape featuring a prominent clock tower with a white face and black hands, surrounded by illuminated buildings, parked cars, and pedestrians on a brick-paved street.",0.015,0.2609,0.424,0.2603
000000456496.jpg,"A woman sits on a stone bench in front of the Eiffel Tower, surrounded by pigeons and looking contemplatively at the iconic Parisian landmark.",0.1446,0.2041,0.571,0.3853
000000154339.jpg,"The image depicts a blurry, nighttime scene of a large industrial pressure gauge mounted on a metal pole, with a smaller gauge nearby, both illuminated by a blue light against a dark background.",0.0001,0.2439,0.307,0.365
000000275727.jpg,"A yellow and gray freight train with the number 86628 is pulling three gray cargo cars on a set of tracks, with a concrete platform and yellow safety line visible on the left side.",0.0001,0.1935,0.3206,0.2615
000000322724.jpg,"A skier in a vibrant orange jacket and teal pants is captured mid-descent on a snowy mountain slope, with another person sitting on the ground in the background.",0.0023,0.3111,0.3912,0.3318
000000367386.jpg,"The image depicts a cozy living room with a mix of modern and traditional furniture, including a black couch, a red and white checkered loveseat, and a glass coffee table. The room features white walls, a black floor lamp, and a colorful abstract painting. Large windows with brown blinds allow natural light to flood the space, revealing a view of a brick building and trees outside. The room has a warm and inviting atmosphere, with a water cooler, a small table with a book, and a decorative vase with dried flowers adding to the decor.",0.0,0.1455,0.3254,0.3347
