Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,A large airplane is landing on a runway in a field.,0.8182,0.1176,0.4265,0.2581
000000435003.jpg,"A person sits at a desk with a computer, facing a window.",0.3475,0.1714,0.3394,0.2939
000000084431.jpg,A person sits on a couch watching TV in a living room setting.,0.0059,0.1818,0.3431,0.2419
000000402346.jpg,A black bowl with red apples and a white flower.,0.9121,0.24,0.446,0.2966
000000294695.jpg,"A beach scene with people, a kite, and a flag on sand.",0.2517,0.0625,0.2713,0.3613
000000161642.jpg,A small house with a triangular roof and circular window.,0.0013,0.1765,0.1271,0.1681
000000120420.jpg,"A woman in a park, holding a camera, surrounded by trees and people.",0.0439,0.0,0.3641,0.3411
000000138492.jpg,"A black and white dog stands upright, holding a frisbee in its mouth.",0.8298,0.25,0.5717,0.353
000000270677.jpg,A young man in a blue shirt stands in a wooded area.,0.2585,0.1081,0.5289,0.3232
000000561465.jpg,"A blurry, colorful abstract composition with indistinct shapes and patterns.",0.0035,0.25,0.122,0.1614
000000141821.jpg,A woman in a white dress holding a large round object.,0.0178,0.1143,0.1172,0.1815
000000448810.jpg,A street sign with four directions pointing to different locations.,0.8017,0.1143,0.5319,0.3428
000000170116.jpg,"A blurry, pixelated image of a bookshelf with indistinct items.",0.0013,0.0,0.1648,0.2313
000000434548.jpg,"A baseball player in white uniform stands on a field, holding a bat.",0.5456,0.0,0.4745,0.2961
000000472623.jpg,A person riding a bicycle on a road with mountains in the background.,0.2972,0.0,0.3321,0.2172
000000442463.jpg,A person skateboards on a concrete surface in a park setting.,0.0191,0.0588,0.2174,0.3113
000000153797.jpg,A baseball player in white uniform running on a dirt field.,0.398,0.0,0.4076,0.261
000000200667.jpg,"A large ship with sails, viewed from a low angle.",0.0,0.1667,0.1099,0.1561
000000471087.jpg,A man with short black hair smiles at the camera in a striped shirt.,0.0856,0.0667,0.2657,0.2484
000000367569.jpg,"A living room with a couch, coffee table, and fireplace.",0.9879,0.1081,0.686,0.2651
000000239717.jpg,"A man in a black shirt sits at a table, looking down at his hands.",0.0286,0.0645,0.1562,0.2698
000000074733.jpg,A cluttered table with various food items and plates.,0.0561,0.1538,0.1852,0.1842
000000511999.jpg,A yellow train with a conductor stands on a platform.,0.1266,0.2143,0.4064,0.3228
000000560911.jpg,"A man sits on a couch, holding a cup of coffee.",0.4823,0.3077,0.6303,0.3091
000000351362.jpg,A person in a white shirt and black pants stands on a bridge.,0.0169,0.2581,0.2719,0.1471
000000025394.jpg,"A man in a white shirt sits at a table, holding a black object.",0.0264,0.0465,0.2326,0.3091
000000117374.jpg,A cat sits on a sidewalk near a tree in a park setting.,0.4155,0.0606,0.4093,0.3242
000000439715.jpg,"A man in a red coat rides a horse, holding a sword.",0.2488,0.0,0.5011,0.3301
000000201025.jpg,Abstract painting with vibrant colors and swirling patterns.,0.0004,0.2051,0.0562,0.1265
000000092177.jpg,A tropical beach-themed cake with palm trees and a banner.,0.1944,0.1379,0.4088,0.3374
000000468245.jpg,"A bedroom with a bed, two windows, and a ceiling light fixture.",0.2649,0.0625,0.4259,0.3115
000000369037.jpg,A person in a white shirt and black pants walking outdoors.,0.0249,0.0,0.1205,0.1874
000000135604.jpg,A man in blue shirt and white pants playing soccer on a field.,1.4022,0.1579,0.6013,0.2832
000000302452.jpg,"A woman in a white dress stands in a doorway, holding a baby.",0.0617,0.1875,0.1786,0.2213
000000396580.jpg,A large white building with a triangular roof and a tall tower.,0.0119,0.0,0.263,0.1881
000000376284.jpg,"A person stands on a bridge, gazing at a distant car.",0.0031,0.0833,0.163,0.1973
000000157756.jpg,A nighttime cityscape with illuminated buildings and a prominent clock tower.,0.3583,0.1053,0.1818,0.2534
000000456496.jpg,"A man sits on a bench, feeding pigeons in a park setting.",0.0137,0.1538,0.4464,0.3225
000000154339.jpg,Abstract artwork featuring circular shapes and vibrant color palette.,0.0,0.1111,0.0505,0.203
000000275727.jpg,A yellow train with a white roof travels on tracks through a forested area.,1.0015,0.0833,0.7489,0.2693
000000322724.jpg,A skier in red jacket and blue pants stands on snowy mountainside.,0.1653,0.2857,0.3094,0.3298
000000367386.jpg,"A living room with a couch, coffee table, and windows.",1.0293,0.1,0.6724,0.2944
000000351609.jpg,"A bowl of fruit, likely oranges, on a table.",0.1267,0.1538,0.284,0.311
000000402334.jpg,A tall church steeple with a cross stands against a blue sky.,0.3636,0.4,0.3757,0.3237
000000006818.jpg,A person in a white shirt and black pants stands in a doorway.,0.0489,0.2286,0.3713,0.2311
000000502910.jpg,"A ""Welcome to Michigan"" sign with a no smoking symbol.",0.1413,0.2581,0.1829,0.2363
