Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,A jet aircraft flies low across an airfield under a cloudy sky.,0.0955,0.0,0.2232,0.2505
000000435003.jpg,A blurred office scene with computers and desks visible.,0.1401,0.2581,0.4593,0.2979
000000084431.jpg,A pizza is on a table in front of a television.,0.5338,0.125,0.5894,0.3364
000000402346.jpg,A still life featuring flowers and tomatoes on a wooden surface.,0.4554,0.3077,0.2475,0.3489
000000294695.jpg,Colorful kites fly over a sandy beach with people.,0.3246,0.129,0.413,0.3298
000000161642.jpg,"A colorful, framed piece of artwork hangs on a white wall.",0.2186,0.069,0.3803,0.2345
000000120420.jpg,A person holding a camera takes a picture outdoors.,0.168,0.0588,0.3788,0.3364
000000138492.jpg,A black and white dog runs while holding a purple toy.,0.8632,0.2222,0.5831,0.3479
000000270677.jpg,A young man stands outdoors in a wooded area.,0.2278,0.1875,0.4368,0.3191
000000561465.jpg,Doughnuts and a plate of food are visible in the image.,0.0819,0.24,0.4482,0.3296
000000141821.jpg,A pizza rests on a wooden surface near a drink.,0.2207,0.0606,0.378,0.2859
000000448810.jpg,Blurred yellow building facade with horizontal signs visible.,0.0934,0.069,0.1124,0.2382
000000170116.jpg,A blurred view of a refrigerator interior with labels.,0.0717,0.08,0.1667,0.3679
000000434548.jpg,A baseball player swings a bat on the field.,1.1304,0.0909,0.6944,0.2874
000000472623.jpg,Monochrome seascape with dark foreground elements.,0.0007,0.1026,0.0725,0.23
000000442463.jpg,A person is skateboarding on a paved area outdoors.,0.1437,0.0645,0.3188,0.3401
000000153797.jpg,A baseball player runs on the dirt infield.,0.3616,0.1364,0.3599,0.2688
000000200667.jpg,"A blurred interior view of a modern, industrial-like space.",0.0018,0.381,0.2315,0.1816
000000471087.jpg,A young man is pictured against a striped background.,0.1735,0.2222,0.4505,0.2556
000000367569.jpg,A blurry interior shot of a living room with a fireplace.,0.341,0.0571,0.4518,0.292
000000239717.jpg,A man in a dark shirt is seated in a busy indoor setting.,0.0974,0.069,0.2128,0.2532
000000074733.jpg,A bar counter displays drinks and food items.,0.0163,0.2222,0.1049,0.2189
000000511999.jpg,A yellow and orange train moves past a station platform.,0.2201,0.2222,0.2244,0.3271
000000560911.jpg,A person is seated on a couch in a dimly lit room.,0.5819,0.381,0.5515,0.27
000000351362.jpg,"A bright, interior hallway with a windowed alcove.",0.0034,0.2143,0.2871,0.2539
000000025394.jpg,A person stands in a dimly lit room with shelves.,0.0012,0.1081,0.1829,0.2253
000000117374.jpg,A blurred outdoor scene with trees and a dirt path.,0.1418,0.2,0.2485,0.2175
000000439715.jpg,A horse and rider move across a track.,0.3021,0.1739,0.2608,0.3057
000000201025.jpg,"Dark, dense trees form a blurred, natural backdrop.",0.095,0.1622,0.1531,0.2382
000000092177.jpg,A blue birthday cake decorated with tropical elements.,0.8464,0.1667,0.4168,0.332
000000468245.jpg,A bedroom with a bed and windows is visible.,0.4521,0.0625,0.4368,0.3025
000000369037.jpg,"A dark, blurred figure stands near a large, indistinct shape.",0.0,0.087,0.1829,0.2294
000000135604.jpg,A blurred soccer player runs on a green field.,0.9156,0.1714,0.4593,0.2705
000000302452.jpg,A blurred figure is visible through horizontal blinds indoors.,0.0,0.0741,0.0505,0.1641
000000396580.jpg,A blurred view of water reflecting a distant building.,0.0419,0.0,0.1515,0.2578
000000376284.jpg,Blurred street scene with parked cars and vertical structures.,0.1492,0.2,0.1667,0.2339
000000157756.jpg,"A tall clock tower stands against a dark, blurred city night.",0.7318,0.0,0.3125,0.2971
000000456496.jpg,A blurred figure walks across a crosswalk in an urban setting.,0.0003,0.2051,0.1205,0.1912
000000154339.jpg,"Abstract, colorful, out-of-focus shapes dominate the dark image.",0.0345,0.125,0.051,0.2715
000000275727.jpg,A yellow and grey train travels along railway tracks.,0.7123,0.087,0.5378,0.3008
000000322724.jpg,Skier descends snowy slope under a bright blue sky.,0.1615,0.303,0.1667,0.2876
000000367386.jpg,A modern living room with windows and a dark sofa.,0.6907,0.0,0.5439,0.2788
000000351609.jpg,"Orange, round food items are piled on a plate.",0.0,0.2,0.1235,0.3286
000000402334.jpg,"A tall, pointed steeple rises against a blue, cloudy sky.",0.1063,0.4516,0.1829,0.3362
000000006818.jpg,"A bright, modern interior space with white walls and fixtures.",0.012,0.0,0.1376,0.2035
000000502910.jpg,A blurred street scene features a directional arrow sign.,0.0396,0.2963,0.1852,0.3037
000000467176.jpg,A blurry indoor scene shows a room with shelves and a television.,0.0007,0.25,0.1361,0.2944
000000205105.jpg,A person is playing tennis on a court.,0.6481,0.069,0.3796,0.3081
000000052591.jpg,A person in a white shirt and dark pants is walking.,0.0151,0.2857,0.2273,0.2026
000000066038.jpg,Colorful umbrellas dot a sandy beach with people relaxing.,0.2362,0.1143,0.4593,0.3496
000000286908.jpg,A collage of various food dishes and culinary elements.,0.2656,0.0833,0.2525,0.3213
000000144932.jpg,"A boat travels across a calm, wide expanse of water.",0.2779,0.129,0.3153,0.2795
000000261161.jpg,A dog runs past a pink bench outdoors.,0.5944,0.0645,0.3546,0.2771
000000512194.jpg,Vibrant yellow background frames a potted plant indoors.,0.0,0.1739,0.0562,0.2852
000000507473.jpg,A young person takes a selfie indoors with a bright background.,0.4077,0.0571,0.2174,0.2654
000000232538.jpg,"A train passes a station under a bright, cloudy sky.",0.373,0.2326,0.2735,0.252
000000383289.jpg,A person walks past a parked car in a blurred setting.,0.0,0.1176,0.163,0.2239
000000038825.jpg,Striped animals are walking across a green field.,0.0,0.0667,0.0625,0.3162
000000256192.jpg,A bright yellow motorcycle speeds down an urban street.,0.5322,0.0,0.4167,0.2778
000000306893.jpg,A red and white tram moves between modern buildings.,0.2564,0.069,0.3472,0.3232
000000356261.jpg,A cow grazes near a flowing stream in a green landscape.,0.0383,0.0,0.1364,0.3225
000000040757.jpg,A person is lying in bed in a dimly lit room.,0.3631,0.1026,0.4482,0.2837
000000063047.jpg,A person walks past a building with a green roof.,0.0288,0.0606,0.5617,0.2124
000000502168.jpg,A wide view of the ocean with ships on the horizon.,0.2656,0.0476,0.3012,0.2432
000000210502.jpg,A side view of a moving train car on tracks.,0.4108,0.0,0.2294,0.3318
000000232088.jpg,A blurred interior shot of a modern living room space.,0.2823,0.24,0.3153,0.3047
000000095899.jpg,A red stop sign and a blue sign near construction cranes.,1.1584,0.0,0.5569,0.2886
000000416451.jpg,A blurred indoor scene shows people and furniture.,0.014,0.0667,0.1124,0.2489
000000549738.jpg,A colorful blur flies past a distant tower under a cloudy sky.,0.0881,0.0606,0.2381,0.2629
000000502732.jpg,A stainless steel refrigerator is visible in a kitchen setting.,0.752,0.1,0.446,0.3777
000000474164.jpg,A vehicle drives past a distant monument under a cloudy sky.,0.0,0.0556,0.1205,0.214
000000389316.jpg,"Elephants walk through a dusty, outdoor enclosure.",0.044,0.1538,0.1304,0.3154
000000526728.jpg,A street scene with blurred buildings and parked objects.,0.0034,0.1429,0.101,0.2136
000000435205.jpg,A person is drawing on their skin with a marker.,0.0185,0.0,0.2675,0.2473
000000312237.jpg,"A wide, sandy beach meets a distant, hazy mountain under a blue sky.",0.1302,0.129,0.1786,0.2932
000000431727.jpg,"Blurred brown grasses frame a dark, indistinct shape.",0.0,0.1622,0.0562,0.2126
000000226883.jpg,A blurred outdoor scene shows a building and a cow.,0.237,0.0,0.4088,0.291
000000164969.jpg,A pizza is presented in a cardboard box.,0.3404,0.0606,0.3546,0.3364
000000569059.jpg,A cluttered office desk with a computer monitor is visible.,0.5325,0.1429,0.4901,0.3159
000000186980.jpg,"A warm, wooden interior space with a kitchen area.",0.2328,0.0976,0.3758,0.2852
000000180383.jpg,A wooden cutout of a horse displays a screen with a person.,0.0034,0.0,0.2843,0.2793
000000545407.jpg,A jet airplane flies across a clear blue sky.,1.2547,0.0833,0.5506,0.2952
000000122217.jpg,Two figures skate on a paved outdoor path.,0.2863,0.2308,0.3546,0.3157
000000005600.jpg,Two bowls of food are presented on a white plate.,0.391,0.1212,0.5403,0.269
000000297396.jpg,A plate of baked goods is visible on a table.,0.2325,0.1429,0.5319,0.2893
000000386277.jpg,A bright yellow fruit hangs from a green branch.,0.4002,0.093,0.3472,0.3159
000000523241.jpg,"A pole stands on a blurred, moving street under an overcast sky.",0.215,0.375,0.4796,0.2942
000000464824.jpg,A person in a striped shirt is moving quickly outdoors.,0.0434,0.1765,0.1376,0.2537
000000032570.jpg,Surfer rides a wave in motion.,0.3273,0.0741,0.1724,0.304
000000237928.jpg,A modern kitchen with stainless steel appliances is visible.,1.1988,0.129,0.5948,0.2898
000000439525.jpg,A woman in a patterned dress is visible in a warm interior.,0.0575,0.125,0.263,0.22
000000206579.jpg,A blurry indoor scene with a bright light source on a table.,0.0043,0.2424,0.2748,0.2529
000000267434.jpg,Cows graze in a field near a distant farm building.,0.1154,0.0,0.4901,0.2939
000000050006.jpg,A wide view of a body of water with distant hills.,0.0276,0.3571,0.1485,0.2935
000000188906.jpg,"A close-up of a warm, orange-toned food item on a white plate.",0.0333,0.1905,0.1351,0.2532
000000250758.jpg,"A zebra runs across a grassy, open field.",0.5367,0.1176,0.3945,0.3083
000000312263.jpg,"A dark, abstract, multi-story building facade is visible.",0.0559,0.25,0.1124,0.2664
000000446651.jpg,Motorcyclists ride past a blurred urban background.,0.0,0.1579,0.1136,0.2725
000000145597.jpg,People are gathered outdoors in a group setting.,0.0566,0.0,0.1685,0.2925
000000122606.jpg,A white and blue bus moves down an asphalt road.,0.517,0.0,0.3156,0.3083
000000417085.jpg,"A road stretches toward a distant, tall building under a cloudy sky.",0.0765,0.0741,0.1351,0.212
000000092839.jpg,"A polar bear is visible in a natural, outdoor setting.",1.1528,0.1,0.446,0.3398
000000533493.jpg,Two figures are visible against a light blue background.,0.0956,0.0769,0.1515,0.2563
000000494427.jpg,A silver laptop is open on a light wooden surface.,0.7521,0.2581,0.6233,0.3184
000000438907.jpg,Skateboarders perform tricks in an outdoor skatepark setting.,0.0003,0.0513,0.1124,0.3157
000000246436.jpg,A person is cooking food in a kitchen setting.,0.2328,0.0606,0.4505,0.3208
000000060886.jpg,Baseball players are visible on the field during a game.,0.3898,0.0,0.5439,0.282
000000291791.jpg,A green motorcycle is moving across a grassy field.,0.8206,0.1765,0.3155,0.2913
000000294163.jpg,A blue sky features a blurred clock tower and tree branches.,0.7267,0.2,0.5204,0.3472
000000350405.jpg,A snowboarder rides down a snowy slope under a blue sky.,0.3664,0.1935,0.5569,0.3245
000000456662.jpg,A child stands in front of a refrigerator in a kitchen.,0.6894,0.0625,0.5668,0.3408
000000286708.jpg,A black and white cat wears a bright pink hat.,0.4161,0.0588,0.699,0.3521
000000005477.jpg,A large commercial airplane flies low over an airfield.,0.3615,0.0,0.3155,0.2529
000000486573.jpg,A window view shows green foliage outside.,0.0581,0.2857,0.1933,0.3357
000000369675.jpg,A red and white train moves along railway tracks.,0.8351,0.1379,0.7052,0.2786
000000164115.jpg,A skateboard rests on a paved path outdoors.,0.0026,0.0714,0.2203,0.3137
000000113403.jpg,A blurry image shows stuffed animals on a bed.,0.5913,0.0909,0.3788,0.3276
000000127530.jpg,A male tennis player swings a racket during a match.,0.5357,0.0,0.739,0.2837
000000384136.jpg,A person is holding a camera and taking a picture.,0.0766,0.2069,0.3156,0.3005
000000419408.jpg,People are walking and sitting in a park setting.,0.0046,0.0,0.1894,0.2329
000000548524.jpg,"Ocean waves stretch across a vast, pale blue horizon.",0.0,0.1176,0.1111,0.2795
000000187513.jpg,A blurred interior shot of a modern kitchen space.,0.0015,0.0,0.3188,0.2197
