Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,A large white airplane is landing on a runway.,0.9335,0.2941,0.5975,0.2335
000000435003.jpg,"A cluttered office space with a desk, computer, and chair.",0.0066,0.303,0.3156,0.2903
000000084431.jpg,A plate of food with a TV in the background.,0.1278,0.1765,0.2941,0.2878
000000402346.jpg,A black bowl of tomatoes sits on a wooden table with a flower nearby.,1.1374,0.25,0.5409,0.3459
000000294695.jpg,"A bustling beach scene with people, colorful flags, and a pier in the background.",0.2094,0.2424,0.4523,0.3386
000000161642.jpg,"A colorful cuckoo clock hangs on a white wall, its face visible.",0.3543,0.2353,0.531,0.3254
000000120420.jpg,A person in a green shirt takes a picture outdoors with a white camera.,0.6174,0.4571,0.4171,0.3523
000000138492.jpg,"A black and white dog stands upright on grass, holding a purple object.",0.6401,0.2703,0.5717,0.3264
000000270677.jpg,A young man in a blue t-shirt stands on a sidewalk in a park.,0.2122,0.1714,0.3931,0.3098
000000561465.jpg,A box of donuts and a plate with a brown item on a wooden table.,0.4487,0.2222,0.6404,0.3467
000000141821.jpg,A person in a white shirt holds a pizza and a green can.,0.3056,0.1081,0.3431,0.2944
000000448810.jpg,"A street sign with three directions pointing left, right, and forward.",0.4715,0.1875,0.4314,0.2949
000000170116.jpg,A cluttered room with various objects and a prominent white poster.,0.0018,0.0,0.2174,0.197
000000434548.jpg,"A baseball player in white uniform stands on a dirt mound, ready to pitch.",0.4851,0.1538,0.3947,0.3105
000000472623.jpg,A serene beach scene with gentle waves and a calm ocean.,0.0367,0.1538,0.1351,0.1915
000000442463.jpg,A person in red clothing is skateboarding on a white surface.,0.1437,0.0,0.3125,0.3608
000000153797.jpg,A baseball player in white uniform running on a dirt field.,0.398,0.1333,0.4076,0.261
000000200667.jpg,A large industrial machine with a yellow base and silver top.,0.0,0.381,0.1087,0.1884
000000471087.jpg,A man in a hat and striped shirt stands before a brick wall.,0.4207,0.1379,0.5461,0.2568
000000367569.jpg,"A cozy living room with a fireplace, couch, and coffee table.",0.4248,0.2703,0.6158,0.2708
000000239717.jpg,"A man in a black shirt with a red bracelet, holding a white object.",0.0919,0.0588,0.3322,0.2529
000000074733.jpg,A beer flight with four beers and two pizzas on a wooden table.,0.8078,0.3158,0.4265,0.335
000000511999.jpg,A yellow train with black windows is parked at a station.,0.1618,0.2143,0.2335,0.3247
000000560911.jpg,"A man sits on a couch, wearing a hat and jacket.",0.3966,0.4167,0.5831,0.2908
000000351362.jpg,"A bathroom with a bathtub, shower curtain, and sink.",0.2395,0.2353,0.4956,0.3242
000000025394.jpg,"A man in a gray shirt sits at a wooden table, holding a white object.",0.0203,0.093,0.2299,0.3027
000000117374.jpg,"A park scene with a dog, tree, and grassy area visible.",0.0009,0.1818,0.1205,0.229
000000439715.jpg,A person in a red jacket rides a brown horse outdoors.,0.6801,0.2308,0.4848,0.3591
000000201025.jpg,A dense forest scene with tall trees and lush green foliage.,0.1259,0.0541,0.1087,0.2462
000000092177.jpg,A beach-themed cake with palm trees and a hammock decoration.,0.1849,0.1429,0.4088,0.3416
000000468245.jpg,"A cozy bedroom with a queen bed, windows, and a ceiling fan.",0.1855,0.1622,0.4259,0.3076
000000369037.jpg,"A man in a black shirt stands next to a large, indistinct object.",0.0988,0.0,0.6618,0.2703
