Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,A faint silhouette of an airplane against a cloudy sky.,0.3848,0.0606,0.3117,0.2363
000000435003.jpg,A desk with multiple computer monitors is visible in the image.,1.0451,0.0,0.5373,0.3174
000000084431.jpg,"A blurry, abstract image with a small rectangular shape.",0.0013,0.0588,0.1667,0.1803
000000402346.jpg,A flower is above a bowl of red fruit.,0.6215,0.0833,0.3758,0.3125
000000294695.jpg,A blurry image shows a flag flying over a field.,0.1191,0.0,0.1271,0.2639
000000161642.jpg,A graduation cap icon is visible against a textured background.,0.0016,0.129,0.0917,0.1737
000000120420.jpg,People are gathered outdoors near trees in a blurry scene.,0.0057,0.0,0.1,0.2375
000000138492.jpg,A spotted dog is running outdoors against a green background.,0.2668,0.1622,0.2675,0.2334
000000270677.jpg,A person stands outdoors in a wooded area.,0.0015,0.0,0.1724,0.2988
000000561465.jpg,"A colorful, textured astronomical image showing celestial bodies.",0.0,0.2609,0.0625,0.1274
000000141821.jpg,"A close-up, abstract depiction of a face.",0.0011,0.0,0.121,0.1755
000000448810.jpg,"A stylized, abstract representation of a ship on a grid.",0.0069,0.0,0.2,0.1821
000000170116.jpg,"A blurry, colorful image shows a section of a building facade.",0.0004,0.0,0.1485,0.1697
000000434548.jpg,A basketball player jumps while shooting the ball during a game.,0.0877,0.0,0.2174,0.2052
000000472623.jpg,"A dark, abstract image with faint circular shapes visible.",0.0006,0.0,0.0694,0.2009
000000442463.jpg,A person is skateboarding in a grassy outdoor area.,0.175,0.0667,0.1852,0.3152
000000153797.jpg,A baseball player is running on a field.,0.5836,0.0476,0.4213,0.2715
000000200667.jpg,A blurry image shows the bow of a boat on water.,0.0024,0.1905,0.3079,0.1635
000000471087.jpg,A portrait of a man against a brick wall.,1.0783,0.0714,0.6411,0.2612
000000367569.jpg,An interior room with furniture and a wall-mounted picture.,0.0798,0.1667,0.3897,0.3008
000000239717.jpg,"A colorful, abstract image with dark and bright areas.",0.002,0.0,0.1111,0.1439
000000074733.jpg,A cluttered countertop with various items and dishes is visible.,0.0033,0.1143,0.1376,0.1704
000000511999.jpg,A vintage bus is visible inside a brightly lit interior.,0.0023,0.16,0.15,0.1914
000000560911.jpg,A young person stands near a couch and a toilet.,0.7088,0.2727,0.3156,0.2812
000000351362.jpg,"A bright, diffuse light source appears in the upper right of the image.",0.0351,0.0,0.1456,0.2522
000000025394.jpg,A person is depicted playing a musical instrument.,0.0009,0.0,0.125,0.2139
000000117374.jpg,A small dark animal is visible on a sandy ground.,0.001,0.0,0.2012,0.2196
000000439715.jpg,A mounted figure is visible in a blurry outdoor scene.,0.0016,0.1667,0.2,0.3225
000000201025.jpg,"The image is a textured, abstract field of mixed colors.",0.0009,0.0,0.15,0.2003
000000092177.jpg,"A colorful, layered cake sits on a matching stand.",0.1783,0.0,0.1667,0.2568
000000468245.jpg,A dimly lit room with a bed and windows is visible.,0.2917,0.0571,0.2101,0.3137
000000369037.jpg,"A blurry, dark image with faint, indistinct shapes visible.",0.0017,0.0,0.1111,0.202
000000135604.jpg,A person runs across a grassy field outdoors.,0.114,0.0,0.25,0.2416
000000302452.jpg,A figure stands in a doorway against a textured background.,0.0004,0.0769,0.1575,0.1439
000000396580.jpg,"A blurry, grainy image showing a structure and a road.",0.0093,0.0,0.2675,0.1854
000000376284.jpg,"A blurry, abstract image with indistinct shapes and colors.",0.0023,0.1111,0.1111,0.181
000000157756.jpg,"A bright moon hangs above a distant, illuminated cityscape.",0.0,0.0,0.0926,0.1753
000000456496.jpg,Two people stand outdoors with a building in the background.,0.0016,0.0,0.1376,0.1888
000000154339.jpg,A close-up shows a circular object with internal colors.,0.0004,0.0,0.1515,0.2727
000000275727.jpg,A train travels along a track through a wooded area.,0.5087,0.0,0.75,0.2413
000000322724.jpg,"A person is skiing in a snowy, cloudy landscape.",0.2129,0.0,0.3507,0.3174
000000367386.jpg,A dimly lit room with furniture and a television is visible.,0.192,0.0,0.4482,0.2769
000000351609.jpg,"A close-up view of textured, rounded, orange-toned objects.",0.0007,0.0,0.125,0.2991
000000402334.jpg,A tall church spire rises against a cloudy sky.,0.3212,0.375,0.1852,0.302
000000006818.jpg,"A blurry, abstract image with varied tones and shapes.",0.0027,0.0,0.1389,0.1729
000000502910.jpg,A sign with text hangs from a pole in front of a dark surface.,0.1636,0.0,0.3577,0.2585
000000467176.jpg,A blurry scene with indistinct figures and objects.,0.0004,0.0,0.0699,0.2056
000000205105.jpg,A person jumps with arms raised against a dark sky.,0.0008,0.069,0.1271,0.2473
000000052591.jpg,A silhouette of a person stands next to a microphone stand.,0.0021,0.2353,0.1818,0.2382
000000066038.jpg,Colorful umbrellas are set up in a sandy outdoor area.,0.211,0.0571,0.3117,0.325
000000286908.jpg,"A colorful, abstract collage of various circular and organic shapes.",0.0848,0.1481,0.15,0.1639
000000144932.jpg,A distant horizon line separates a vast expanse.,0.0,0.1212,0.1124,0.2305
000000261161.jpg,"Two dogs are standing outdoors in a bright, open area.",0.0,0.0,0.122,0.2288
000000512194.jpg,A still life painting features a vase of flowers.,0.3653,0.2609,0.3188,0.2573
000000507473.jpg,"A person is captured in a somewhat blurry, grainy image.",0.0009,0.0,0.15,0.2408
000000232538.jpg,An industrial building with a tall smokestack under a bright sky.,0.0,0.0,0.1205,0.2561
000000383289.jpg,"A person stands next to a car, holding a yellow object.",0.0058,0.0,0.163,0.2793
000000038825.jpg,Three zebras graze in a grassy field.,0.8799,0.0,0.6127,0.3154
000000256192.jpg,A yellow and black motorcycle is parked outdoors.,0.6945,0.1667,0.4168,0.2852
000000306893.jpg,"An interior view shows a large, dark, triangular structure.",0.0174,0.0,0.101,0.2328
000000356261.jpg,"A white vehicle is parked in a grassy, hilly landscape.",0.0082,0.0,0.1376,0.2627
000000040757.jpg,"A blurry, abstract image with varied colors and textures.",0.0015,0.0,0.101,0.1873
000000063047.jpg,"A small, covered structure stands in a dimly lit outdoor setting.",0.0,0.0556,0.1087,0.229
000000502168.jpg,"A view of the sea next to a large, dark structure.",0.015,0.05,0.44,0.2345
000000210502.jpg,A train side features a prominent circular emblem design.,0.2103,0.08,0.2366,0.345
000000232088.jpg,A blurry image shows a train and a building structure.,0.0139,0.2727,0.3156,0.1915
000000095899.jpg,A stop sign and a street sign for Fort York Blvd are visible.,1.2958,0.0513,0.6439,0.3442
000000416451.jpg,A musician plays an instrument on a stage with equipment.,0.0017,0.0606,0.1829,0.2037
000000549738.jpg,A colorful bird flies above a dark silhouette of a building.,0.0512,0.0,0.2869,0.2908
000000502732.jpg,"A tall, dark refrigerator stands against a patterned background.",0.2769,0.0,0.1667,0.3569
000000474164.jpg,A figure stands atop a vehicle against a bright sky.,0.0,0.0,0.15,0.2883
000000389316.jpg,A group of cattle stands in an outdoor enclosure.,0.1569,0.0,0.3155,0.2729
000000526728.jpg,A blurry indoor scene with indistinct figures and objects.,0.0027,0.1429,0.101,0.1991
000000435205.jpg,"A blurry, colorful image featuring a teddy bear and a large object.",0.3311,0.0,0.3351,0.2539
000000312237.jpg,"A landscape view under a bright, textured sky.",0.0,0.0,0.102,0.215
000000431727.jpg,"Bare tree branches frame a dark, rounded shape.",0.0618,0.0,0.102,0.2524
000000226883.jpg,A rural scene shows a house and trees in the background.,0.0101,0.0,0.3125,0.2573
000000164969.jpg,"A square, textured, reddish-brown abstract pattern dominates the image.",0.0,0.1875,0.0556,0.1617
000000569059.jpg,A computer setup with a monitor and keyboard is visible.,0.4327,0.0,0.4088,0.3198
000000186980.jpg,An interior scene with furniture and a table is visible.,0.1176,0.0476,0.2,0.3127
000000180383.jpg,A small screen displays a person's face in a vehicle interior.,0.003,0.069,0.2259,0.2225
000000545407.jpg,A silhouette of a bird in flight against a bright sky.,0.1881,0.0,0.1681,0.2585
000000122217.jpg,"A faint, curved structure is visible against a dark background.",0.0,0.0,0.1,0.2085
000000005600.jpg,"A close-up view of a textured, round object.",0.001,0.0,0.1402,0.2167
000000297396.jpg,"A stylized, colorful depiction of a crowded, ornate vessel.",0.0007,0.1538,0.1667,0.1509
000000386277.jpg,"A bright, spherical object is visible against a dark background.",0.0,0.0,0.1099,0.2429
000000523241.jpg,"A tall, textured pole stands against a blurry outdoor background.",0.1933,0.129,0.1648,0.2485
000000464824.jpg,A close-up image showing a person's torso and arm.,0.0,0.0571,0.101,0.2196
000000032570.jpg,"A dark, silhouetted figure stands in a bright, open area.",0.0003,0.0,0.1376,0.1631
000000237928.jpg,A dimly lit kitchen interior with cabinets and appliances visible.,0.4846,0.0,0.446,0.29
000000439525.jpg,"A woman in a patterned dress stands indoors, possibly posing.",0.0538,0.0,0.2345,0.1848
000000206579.jpg,"A bright, rectangular structure is visible against a dark background.",0.0,0.0645,0.1099,0.1735
