Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,A large airplane parked on a runway with a blue sky backdrop.,0.7699,0.1765,0.5076,0.2793
000000435003.jpg,"A cluttered office with multiple monitors, a laptop, and a black chair.",0.1045,0.2759,0.3757,0.2939
000000084431.jpg,A small TV on a table with a chair nearby.,0.0092,0.2286,0.2566,0.229
000000402346.jpg,A black bowl of tomatoes with a white and red striped flower nearby.,1.1319,0.3077,0.5558,0.356
000000294695.jpg,A colorful kite soars over a beach with people and flags below.,0.4486,0.2,0.4124,0.3645
000000161642.jpg,A colorful cuckoo clock with a white face and black numbers.,0.1759,0.2353,0.1818,0.3228
000000120420.jpg,"Woman takes selfie with camera in park, surrounded by trees and people.",0.0031,0.4444,0.1471,0.3025
000000138492.jpg,"A black and white dog stands on hind legs, holding a purple frisbee.",0.6522,0.25,0.6529,0.384
000000270677.jpg,A young man in blue shirt and jeans stands in a park with trees.,0.1918,0.1143,0.4189,0.3
000000561465.jpg,A box of donuts and plates with food on a dark table.,0.8813,0.3846,0.7782,0.3323
000000141821.jpg,A pizza with various toppings sits on a wooden table with drinks nearby.,0.6239,0.1579,0.5694,0.2957
000000448810.jpg,A street signpost with multiple directions in a foreign language.,0.1282,0.2162,0.2675,0.3535
000000170116.jpg,"A cluttered wall with various papers, posters, and a calendar.",0.0662,0.0769,0.2747,0.2314
000000434548.jpg,A baseball player in a white uniform throws a pitch on the field.,0.9097,0.0769,0.6752,0.3213
000000472623.jpg,A person rides a BMX bike along a rocky shoreline.,0.2583,0.2,0.4689,0.3347
000000442463.jpg,A young boy in red shirt and helmet skateboards on a concrete surface.,0.1297,0.0606,0.3321,0.3623
000000153797.jpg,A baseball player in a white uniform is pitching on a dirt mound.,0.2682,0.1333,0.3957,0.2842
000000200667.jpg,"A cow stands on a metal grate, looking up at a large machine.",0.6022,0.381,0.2353,0.3201
000000471087.jpg,A young man in a plaid shirt and tie stands before a brick wall.,0.6328,0.2,0.5048,0.3083
000000367569.jpg,"A cozy living room with a fireplace, couch, and coffee table.",0.4248,0.2162,0.6158,0.2708
000000239717.jpg,"Man in blue shirt holds plate of food, smiling at camera.",0.4094,0.0714,0.4043,0.3374
000000074733.jpg,"A table with beer glasses, pizza, and a cheese board in a restaurant.",0.2565,0.2564,0.2232,0.312
000000511999.jpg,A yellow subway train with three men on the platform.,0.1694,0.2,0.1695,0.2664
000000560911.jpg,"Man on couch, holding phone, wearing brown shirt and jeans.",0.041,0.3478,0.1648,0.2969
000000351362.jpg,"A bedroom with a bed, nightstand, and a window with curtains.",0.0062,0.1111,0.2174,0.2322
000000025394.jpg,"Woman pours wine into glass at bar, holding bottle and cloth.",0.354,0.093,0.1485,0.3157
000000117374.jpg,Two cats sit on grass near a tree and wire fence.,1.3743,0.1875,0.4518,0.2864
000000439715.jpg,A man in a red uniform rides a brown horse in a park setting.,1.2643,0.2963,0.607,0.3906
000000201025.jpg,Two women in dresses walking through a forested area.,0.2903,0.2,0.284,0.226
000000092177.jpg,A beach-themed birthday cake with palm trees and a surfboard topper.,0.6394,0.1379,0.5556,0.354
000000468245.jpg,"A cozy bedroom with a bed, windows, and a nightstand.",0.0841,0.0571,0.3153,0.2712
000000369037.jpg,Man in glasses and black shirt stands beside a large tree.,0.0,0.0741,0.1807,0.208
000000135604.jpg,A young boy in a white uniform prepares to kick a soccer ball on a field.,1.8501,0.2051,0.6642,0.2893
000000302452.jpg,A man in a white shirt and black pants stands in a stadium.,0.0006,0.303,0.1538,0.1448
000000396580.jpg,"A serene lakeside scene with a white house, trees, and a small boat.",0.1448,0.0,0.3074,0.2896
000000376284.jpg,"A grainy street scene with parked cars, trash cans, and a white van.",0.0828,0.1739,0.1596,0.2421
000000157756.jpg,A tall clock tower stands in a bustling city square at night.,0.8055,0.1053,0.4373,0.3403
000000456496.jpg,"Woman sits on stone wall, feeding pigeons in Paris.",0.001,0.2,0.3272,0.3633
000000154339.jpg,"Two pressure gauges on machinery, one large and one small.",0.2702,0.0556,0.206,0.2744
000000275727.jpg,A yellow train with silver cars travels on tracks through a wooded area.,0.6761,0.0,0.7562,0.2896
000000322724.jpg,A skier in orange and blue gear descends snowy mountain slope.,0.1682,0.1622,0.163,0.311
000000367386.jpg,"A cozy living room with a couch, coffee table, and artwork on the wall.",0.3884,0.0,0.5186,0.3035
000000351609.jpg,"A plate of orange-colored food items, possibly tater tots or donuts.",0.0005,0.1538,0.1205,0.3167
000000402334.jpg,"A tall church steeple with a cross, clock, and arched window against a blue sky.",0.1641,0.4,0.3628,0.3223
000000006818.jpg,"A grainy image of a basement with pipes, bowls, and a window.",0.1001,0.375,0.3094,0.2693
000000502910.jpg,A street sign in German with an orange arrow and a no symbol.,0.2632,0.3125,0.4412,0.2993
000000467176.jpg,"Three people in a living room, one holding a phone, watching TV.",0.1227,0.2069,0.1802,0.2539
000000205105.jpg,Woman in green shirt and black shorts playing tennis on blue court.,0.3804,0.129,0.1613,0.2888
000000052591.jpg,"A woman in 1950s attire stands with skis and poles, smiling outdoors.",0.0697,0.1739,0.3394,0.4004
000000066038.jpg,"A couple sits on beach chairs under colorful umbrellas, enjoying a sunny day.",0.2084,0.2778,0.3713,0.364
000000286908.jpg,"A collage of five Asian dishes, showcasing various noodle and rice-based meals.",0.0331,0.4138,0.1471,0.3472
000000144932.jpg,"Two boats on water, one towing another, with distant land visible.",0.1066,0.125,0.084,0.2988
000000261161.jpg,A happy dog sits on a bench in a park setting.,0.5397,0.0606,0.4748,0.3303
000000512194.jpg,"A white vase with flowers sits on a windowsill, overlooking a sunny landscape.",0.8437,0.0741,0.4563,0.3037
000000507473.jpg,"Woman brushing teeth with green toothbrush, smiling in bathroom.",0.7193,0.1579,0.284,0.365
000000232538.jpg,A yellow and blue train pulls into a station with a tall smokestack.,0.7309,0.2609,0.4699,0.2932
000000383289.jpg,"Man on Segway, talking on phone, wearing helmet and sunglasses.",0.0263,0.1212,0.1835,0.2979
000000038825.jpg,Two zebras grazing on grass in a natural outdoor setting.,0.4644,0.0667,0.5902,0.3218
000000256192.jpg,A yellow police motorcycle parked on a street with a crowd behind a fence.,2.5322,0.2963,0.7308,0.3201
000000306893.jpg,A grainy photograph of a city street with a tram and buildings.,0.3472,0.1818,0.4605,0.2844
000000356261.jpg,A white horse grazes by a river in a lush green landscape.,0.5681,0.24,0.4018,0.3503
000000040757.jpg,A woman in a red dress sleeps on a floral-patterned bed.,0.0059,0.1364,0.3079,0.2352
000000063047.jpg,A man in red shirt and glasses eats in front of a pagoda-like building.,0.0891,0.0541,0.1908,0.3484
000000502168.jpg,"A large ship with people on deck, surrounded by smaller boats in the ocean.",0.3429,0.1778,0.4283,0.2229
000000210502.jpg,A sleek silver train with a red stripe and black door on tracks.,0.5289,0.08,0.3982,0.3425
000000232088.jpg,"A cozy living room with a couch, TV, and window.",0.5843,0.0769,0.4901,0.2883
000000095899.jpg,A stop sign and Fort York Boulevard sign stand near a construction crane.,1.1816,0.0976,0.5396,0.3625
000000416451.jpg,Two men play Wii on a treadmill in a living room setting.,0.5902,0.1176,0.5335,0.3713
000000549738.jpg,A vibrant kite soars against a city skyline with a church steeple.,0.239,0.1765,0.2843,0.3433
000000502732.jpg,A stainless steel refrigerator with two doors and a bottom freezer.,1.2012,0.1818,0.5354,0.3577
000000474164.jpg,A dog sits on a pickup truck in a residential neighborhood.,0.8948,0.0588,0.5373,0.3403
000000389316.jpg,"Two elephants in a zoo enclosure, one eating, one walking.",0.6927,0.0625,0.4573,0.3152
000000526728.jpg,"Two people stand in a hallway with luggage, looking at the camera.",0.274,0.1333,0.5157,0.3237
000000435205.jpg,A person writes on a large pumpkin with a yellow teddy bear nearby.,0.7764,0.0741,0.5022,0.2793
000000312237.jpg,"A bustling beach scene with people, umbrellas, and mountains in the background.",0.1673,0.1622,0.2252,0.3105
000000431727.jpg,Two bears perched on bare tree branches against a white sky.,0.6863,0.3721,0.4416,0.354
000000226883.jpg,A horse grazes in a grassy field near a shed and trees.,0.377,0.24,0.418,0.3091
000000164969.jpg,"A pizza in a box, with cheese, pepperoni, and green toppings visible.",0.5628,0.2941,0.4796,0.332
000000569059.jpg,"A cluttered desk with computer, lamp, and various personal items.",0.3149,0.2353,0.3468,0.3081
000000186980.jpg,"A cozy kitchen with a wooden table, chairs, and a white refrigerator.",0.2585,0.093,0.3647,0.2979
000000180383.jpg,A cow-shaped TV displays a news anchor on its stomach.,0.1628,0.1333,0.3156,0.3726
