Image_ID,Generated_Caption,CIDEr_Score,SPICE_Score,METEOR_Score,CLIPScore_Score
000000456865.jpg,"A China Eastern Airlines jet on a runway, preparing for takeoff.",0.001,0.2162,0.1205,0.2922
000000435003.jpg,"A modern office setup with dual monitors, laptop, and ergonomic chair.",0.0037,0.2759,0.1807,0.2954
000000084431.jpg,"A slice of ham and cheese pizza on a floral plate, with a TV in the background.",0.6435,0.2286,0.4894,0.3604
000000402346.jpg,A black bowl of tomatoes sits on a wooden table with a flower nearby.,1.1374,0.2222,0.5409,0.3459
000000294695.jpg,A lively beach scene with people flying colorful kites and enjoying the sand.,0.2937,0.2069,0.2679,0.3269
000000161642.jpg,A handmade cuckoo clock with floral designs and hanging ropes.,0.1657,0.2286,0.1829,0.353
000000120420.jpg,"Man takes selfie with flip phone in park, surrounded by people and trees.",0.2984,0.2703,0.3431,0.2532
000000138492.jpg,A black and white dog catches a purple frisbee mid-air.,0.894,0.15,0.699,0.3799
000000270677.jpg,A young man in a blue t-shirt stands by a chain-link fence.,0.2625,0.1714,0.477,0.3184
000000561465.jpg,A box of donuts and a plate of meat on a marble table.,1.0199,0.3571,0.7112,0.311
000000141821.jpg,A rustic pizza with toppings sits on a wooden table.,0.4302,0.1714,0.446,0.3069
000000448810.jpg,A street signpost with six directional signs in a foreign language.,0.4133,0.25,0.4043,0.3655
000000170116.jpg,A cluttered refrigerator covered in sports memorabilia and notes.,0.0912,0.1429,0.1235,0.3381
000000434548.jpg,A pitcher in mid-throw on a baseball field with advertisements in the background.,0.1999,0.16,0.3713,0.3518
000000472623.jpg,A biker performs a wheelie on rocky cliffs overlooking the ocean.,0.4005,0.0476,0.2717,0.3152
000000442463.jpg,A young boy in red and white gear skateboards on a concrete court.,0.052,0.1818,0.3321,0.3457
000000153797.jpg,A baseball pitcher in mid-throw on a dirt mound.,0.7813,0.0909,0.3549,0.3062
000000200667.jpg,A cow is being milked using an automated milking machine.,0.4925,0.3636,0.2556,0.3667
000000471087.jpg,A young man in a button-down shirt and plaid tie stands before a brick wall.,0.4767,0.2069,0.4996,0.3062
000000367569.jpg,"A cozy living room with a fireplace, piano, and coffee table.",0.332,0.3077,0.6158,0.283
000000239717.jpg,"Man in blue shirt smiling at camera, holding plates of food.",0.5277,0.1875,0.4043,0.3379
000000074733.jpg,A beer tasting with pizza on a wooden board in a restaurant setting.,0.3219,0.2051,0.4288,0.3389
000000511999.jpg,Yellow train on platform 3 with workers in orange vests.,0.4102,0.3226,0.1958,0.2988
000000560911.jpg,"Man on couch, looking at phone, with luggage nearby.",0.0051,0.48,0.1515,0.2773
000000351362.jpg,"A modern bathroom with a white bathtub, shower curtain, and sink.",0.1333,0.25,0.4043,0.3127
000000025394.jpg,"Man in bar wiping down wine bottle, preparing for customer.",0.1637,0.0476,0.122,0.3323
000000117374.jpg,Two cats and a crow in a park-like setting with a stone wall.,0.5782,0.1143,0.3957,0.3147
000000439715.jpg,A soldier in red uniform rides a brown horse through a park.,1.0541,0.4615,0.5612,0.3904
000000201025.jpg,"Two elephants walk through a lush, green forest with trees in the foreground.",0.5559,0.2927,0.4745,0.3376
000000092177.jpg,A beach-themed birthday cake for MJ's 30th celebration.,0.5043,0.1481,0.2871,0.3074
000000468245.jpg,"A cozy bedroom with a bed, windows, and a nightstand.",0.0841,0.0606,0.3153,0.2712
000000369037.jpg,A man stands beside an adorned elephant in a blue room.,0.4791,0.32,0.5373,0.3315
000000135604.jpg,A young soccer player in white kit prepares to kick a ball on a field.,1.2051,0.1143,0.6519,0.2896
000000302452.jpg,A woman feeds a baby giraffe through a wooden fence at a zoo.,0.5282,0.1935,0.4282,0.3389
000000396580.jpg,"A serene lakeside scene with a house, boat, and lush greenery.",0.1633,0.093,0.1681,0.2881
000000376284.jpg,A dilapidated street with rusted fire hydrant and graffiti-covered poles.,0.7984,0.1667,0.4901,0.343
000000157756.jpg,A nighttime cityscape featuring a prominent clock tower and illuminated buildings.,0.4742,0.1143,0.253,0.2581
000000456496.jpg,"Woman in Paris, Eiffel Tower backdrop, pigeons on stone walkway.",0.204,0.1951,0.2896,0.3777
000000154339.jpg,"Blurred industrial gauges on pipes, illuminated by blue and orange light.",0.1409,0.0606,0.2038,0.3499
000000275727.jpg,"Yellow freight train with ""Freightliner"" text on side, parked at station.",0.4468,0.2308,0.253,0.2854
000000322724.jpg,A skier in vibrant orange and blue gear descends snowy mountain slope.,0.1368,0.4324,0.1613,0.3181
000000367386.jpg,"A cozy living room with two couches, a coffee table, and a dining table.",0.4267,0.05,0.5186,0.2954
000000351609.jpg,A bowl of peeled mandarins sits on a kitchen counter.,0.4677,0.3333,0.4088,0.3459
000000402334.jpg,A red brick church with a tall steeple and cross against a blue sky.,0.3554,0.4,0.367,0.332
000000006818.jpg,"A small, tiled bathroom with a toilet, shower, and buckets.",0.1092,0.25,0.3413,0.3484
000000502910.jpg,"A street sign in German points right, warning of no parking.",0.2386,0.2857,0.32,0.2993
000000467176.jpg,"Four people play Wii in living room, watching tennis game on TV.",0.3481,0.1875,0.2531,0.3457
000000205105.jpg,Woman serves tennis ball on blue court at night.,0.4814,0.1379,0.284,0.2917
000000052591.jpg,A smiling woman in vintage skiing attire stands on snowy ground.,0.0686,0.0909,0.2174,0.363
000000066038.jpg,"A sunny beach scene with colorful umbrellas, loungers, and a tall building in the background.",0.0441,0.1111,0.2769,0.3538
000000286908.jpg,"A collage of five Asian-inspired dishes featuring rice, noodles, and various side dishes.",0.1012,0.1429,0.1942,0.2961
000000144932.jpg,"A tugboat pulls a barge through a gray, overcast body of water.",0.7426,0.2286,0.3717,0.3293
000000261161.jpg,"A happy dog sits on a bench in a park, looking at the camera.",0.3274,0.1333,0.4611,0.3274
000000512194.jpg,"A white pitcher with flowers sits on a windowsill, overlooking trees.",0.6571,0.25,0.4848,0.3091
000000507473.jpg,Woman brushing teeth while taking selfie in bathroom mirror.,1.894,0.1026,0.625,0.3259
000000232538.jpg,A blue train with yellow front and red doors at a station.,0.764,0.3043,0.4429,0.2654
000000383289.jpg,"Security guard on Segway, talking on phone, near parked cars.",0.0241,0.2222,0.2163,0.2834
000000038825.jpg,Two zebras graze on grass in a fenced enclosure.,0.9277,0.1765,0.5975,0.3198
